ViacomCBS Inc.,44.19,+1.29,+3.01%,64.722M,32.534M,27.924B,N/A,
NIO Limited,39.83,+0.52,+1.32%,45.682M,107.29M,62.091B,N/A,
Apple Inc.,126.54,+0.64,+0.51%,42.046M,108.875M,2.124T,34.32,
Ford Motor Company,12.77,+0.07,+0.59%,38.147M,82.728M,50.988B,N/A,
Tencent Music Entertainment Group,20.03,+1.00,+5.25%,29.174M,31.277M,33.601B,53.13,
Palantir Technologies Inc.,23.11,-0.33,-1.41%,26.44M,86.29M,42.113B,N/A,
"AMC Entertainment Holdings, Inc.",10.12,-0.49,-4.60%,23.877M,177.375M,5.081B,N/A,
Bank of America Corporation,39.62,-0.18,-0.46%,22.208M,56.219M,341.769B,21.18,
Norwegian Cruise Line Holdings Ltd.,31.08,+1.37,+4.61%,21.944M,21.013M,11.447B,N/A,
"iQIYI, Inc.",18.63,+1.64,+9.65%,19.235M,17.359M,14.704B,N/A,
General Electric Company,13.44,-0.02,-0.19%,18.734M,85.515M,118.022B,23.32,
Snap Inc.,56.37,+2.26,+4.18%,17.758M,22.503M,85.025B,N/A,
Vipshop Holdings Limited,31.62,+1.84,+6.18%,17.166M,13.938M,21.46B,24.29,
American Airlines Group Inc.,24.03,-0.19,-0.80%,16.7M,54.879M,15.415B,N/A,
GSX Techedu Inc.,33.31,+4.55,+15.82%,16.545M,10.521M,7.949B,N/A,
"Tesla, Inc.",687.81,-3.24,-0.47%,16.065M,35.516M,660.197B,"1,074.70",
Carnival Corporation & plc,28.50,+0.39,+1.37%,15.996M,42.971M,32.962B,N/A,
"Investview, Inc.",0.7450,+0.1500,+25.21%,15.92M,5.097M,2.412B,N/A,
BP p.l.c.,24.99,+0.73,+2.99%,15.321M,16.665M,83.986B,N/A,
"Advanced Micro Devices, Inc.",81.89,+0.46,+0.56%,15.312M,44.693M,99.462B,39.67,
Nokia Corporation,4.0250,-0.0250,-0.62%,15.159M,97.001M,22.993B,N/A,
AT&T Inc.,30.84,+0.14,+0.44%,15.034M,43.858M,220.186B,N/A,
"Marathon Digital Holdings, Inc.",52.43,-4.13,-7.30%,14.718M,32.778M,5.18B,N/A,
General Motors Company,61.50,+0.46,+0.75%,14.482M,25.773M,88.616B,14.20,
Plug Power Inc.,34.41,+0.97,+2.90%,13.626M,42.567M,20.291B,N/A,
Gerdau S.A.,5.36,+0.21,+4.08%,13.377M,9.962M,8.551B,22.43,
Foley Trasimene Acquisition Corp. II,15.10,-0.29,-1.88%,13.084M,8.135M,2.769B,N/A,
Cleveland-Cliffs Inc.,18.68,-0.71,-3.66%,12.597M,20.136M,9.32B,N/A,
Vale S.A.,18.52,+0.24,+1.31%,12.574M,29.909M,95.006B,20.58,
Farfetch Limited,51.57,+1.88,+3.78%,12.456M,7.727M,18.296B,N/A,
United States Steel Corporation,24.12,-0.51,-2.06%,11.974M,21.888M,6.484B,N/A,
Credit Suisse Group AG,10.90,+0.03,+0.32%,11.899M,4.185M,26.03B,9.66,
Occidental Petroleum Corporation,25.55,+0.24,+0.93%,11.971M,20.76M,23.845B,N/A,
Marathon Oil Corporation,11.21,+0.02,+0.21%,11.799M,28.896M,8.849B,N/A,
